Nome;Link;Avaliacao;Quantidade de Avaliações;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
"Smartphone Samsung Galaxy S24 Ultra, Galaxy AI, Selfie de 12MP, Tela de 6.8"" 1-120Hz, 256GB, 12GB RAM - Titânio Violeta  ";https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTozMjM5MzI3ODcyODMxNTc4OjE3MzIzMTQxODE6c3BfYXRmOjMwMDUwODc0ODg5MjQwMjo6MDo6&url=%2FSmartphone-Samsung-Galaxy-Selfie-1-120Hz%2Fdp%2FB0CQD8TSGP%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1732314181%26sr%3D8-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1;4,8;505;em até 12x de R$ 735,98 sem juros;735,98;8389,53;Amazon;22/11/2024 19:23:51
"Smartphone Samsung Galaxy A06 128GB, 4GB RAM, Processador Octa-Core, Bateria de 5000mAh, Tela Infinita de 6.7"", Câmera Traseira Dupla, Dual Chip - Verde Claro  ";https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTozMjM5MzI3ODcyODMxNTc4OjE3MzIzMTQxODE6c3BfYXRmOjMwMDUwODc0ODg5MTEwMjo6MDo6&url=%2FSmartphone-Processador-Octa-Core-Infinita-Traseira%2Fdp%2FB0DGHQSDPT%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1732314181%26sr%3D8-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1;5,0;2;em até 12x de R$ 64,42 sem juros;64,42;730,0;Amazon;22/11/2024 19:23:51
"Smartphone Samsung Galaxy S24, Galaxy AI, Selfie de 12MP, Tela de 6.2"" 1-120Hz, 256GB, 8GB RAM - Violeta  ";https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTozMjM5MzI3ODcyODMxNTc4OjE3MzIzMTQxODE6c3BfYXRmOjMwMDUwODc0ODg5MjMwMjo6MDo6&url=%2FSmartphone-Samsung-Galaxy-Selfie-1-120Hz%2Fdp%2FB0CQD8M85F%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1732314181%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1;4,7;483;em até 12x de R$ 400,01 sem juros;400,01;4499,0;Amazon;22/11/2024 19:23:51
"Smartphone Samsung Galaxy A05s 6,7 Tela Infinita 128GB + 6GB RAM Tela Infinita de 6.7"" 50MP + 2MP + 2MP, Processador Octa-Core, Bateria de longa duração - Preto  ";https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTozMjM5MzI3ODcyODMxNTc4OjE3MzIzMTQxODE6c3BfYXRmOjMwMDUwODc0ODg5MDMwMjo6MDo6&url=%2FSmartphone-Samsung-Infinita-Processador-Octa-Core%2Fdp%2FB0CWVK9CY4%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1732314181%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1;4,7;288;em até 12x de R$ 66,62 sem juros;66,62;719,09;Amazon;22/11/2024 19:23:51
Smartphone Motorola Moto G24 8GB RAM Boost* 128GB Grafite  ;https://www.amazon.com.br/Smartphone-Motorola-Boost-128GB-Grafite/dp/B0CTKWM7Z1/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-5&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;2.076;em até 12x de R$ 64,75 sem juros;64,75;699,0;Amazon;22/11/2024 19:23:51
Smartphone Motorola Moto G34 5G 8GB RAM Boost* 128GB Azul  ;https://www.amazon.com.br/Smartphone-Motorola-Moto-Boost-128GB/dp/B0CTKXGCV1/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-6&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;1.147;em até 12x de R$ 68,95 sem juros;68,95;769,0;Amazon;22/11/2024 19:23:51
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Vanilla - Vegan Leather  ;https://www.amazon.com.br/Smartphone-Motorola-Boost-256GB-Vanilla/dp/B0CXGJPRNF/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-7&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;1.930;em até 12x de R$ 79,12 sem juros;79,12;949,0;Amazon;22/11/2024 19:23:51
"Smartphone Samsung Galaxy A05s 6,7 Tela Infinita 128GB + 6GB RAM Tela Infinita de 6.7"" 50MP + 2MP + 2MP, Processador Octa-Core, Bateria de longa duração - Preto  ";https://www.amazon.com.br/Smartphone-Samsung-Infinita-Processador-Octa-Core/dp/B0CWVK9CY4/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-8&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;288;em até 12x de R$ 66,62 sem juros;66,62;719,09;Amazon;22/11/2024 19:23:51
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black)  ;https://www.amazon.com.br/Smartphone-Xiaomi-Powerful-Snapdragon%C2%AE-performance/dp/B0CT93136H/ref=sr_1_9?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-9&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;5.628;em até 12x de R$ 107,23 com juros;107,23;1148,97;Amazon;22/11/2024 19:23:51
Smartphone Xiaomi POCO C65 8GB+256GB, azul  ;https://www.amazon.com.br/Smartphone-Version-MediaTek-5000mAh-display/dp/B0CMRWYF9P/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DW58fjeHo60Clcbm8sFch0EPJjiDA5t-VBSpcS-_R6F3c0m43KiXnN5DqSjfyvX8dtkPdl3FEED8WLGemDPBCB4IU4TWcrlz5r14bF6BMSSu_IjpBy6pQ0_07fnIRSHADtsF912UgPlunIhwWdiIFqiEXpKlqIzuKpwFydhCwrdFLMIMvRf-69v_dV09iQe6MMcvhjJRB8JTk4kRZI28F5YEXWrfZbirdcKntocHY7bl9g2GhsiCBIZGTiPDojojXo.gYGeGXuQZ9upEKtnQlsPa4DmcbD4Xl-siFlqMx2CppU&dib_tag=se&keywords=smartphone&qid=1732314181&sr=8-10&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,6;3.063;em até 12x de R$ 84,84 com juros;84,84;909,0;Amazon;22/11/2024 19:23:51
