Nome;Link;Avaliacao;Quantidade de Avaliações;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
Smartphone Motorola Moto G24 8GB RAM Boost* 128GB Grafite  ;https://www.amazon.com.br/Smartphone-Motorola-Boost-128GB-Grafite/dp/B0CTKWM7Z1/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-1&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;2.008;em até 12x de R$ 63,33 sem juros;63,33;683,36;Amazon;18/11/2024 20:43:35
Smartphone Motorola Moto G34 5G 8GB RAM Boost* 128GB Azul  ;https://www.amazon.com.br/Smartphone-Motorola-Moto-Boost-128GB/dp/B0CTKXGCV1/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-2&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;1.109;em até 12x de R$ 68,00 sem juros;68,0;763,36;Amazon;18/11/2024 20:43:35
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Vanilla - Vegan Leather  ;https://www.amazon.com.br/Smartphone-Motorola-Boost-256GB-Vanilla/dp/B0CXGJPRNF/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-3&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;1.883;em até 12x de R$ 79,12 sem juros;79,12;949,0;Amazon;18/11/2024 20:43:35
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black)  ;https://www.amazon.com.br/Smartphone-Xiaomi-Powerful-Snapdragon%C2%AE-performance/dp/B0CT93136H/ref=sr_1_4?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-4&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;5.510;em até 12x de R$ 100,33 com juros;100,33;1075,0;Amazon;18/11/2024 20:43:35
Smartphone Xiaomi POCO C65 8GB+256GB, azul  ;https://www.amazon.com.br/Smartphone-Version-MediaTek-5000mAh-display/dp/B0CMRWYF9P/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-5&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,6;3.011;em até 12x de R$ 84,46 com juros;84,46;905,0;Amazon;18/11/2024 20:43:35
Smartphone Samsung Galaxy A15 4G 128GB - Azul Escuro  ;https://www.amazon.com.br/Smartphone-Samsung-Galaxy-A15-128GB/dp/B0CRWJ887S/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;4,7;1.547;em até 10x de R$ 85,99 sem juros;85,99;859,9;Amazon;18/11/2024 20:43:35
"Smartphone Samsung Galaxy A05s 6,7 Tela Infinita 128GB + 6GB RAM Tela Infinita de 6.7"" 50MP + 2MP + 2MP, Processador Octa-Core, Bateria de longa duração - Preto  ";https://www.amazon.com.br/Smartphone-Samsung-Infinita-Processador-Octa-Core/dp/B0CWVK9CY4/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-7&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;265;em até 12x de R$ 69,36 sem juros;69,36;789,01;Amazon;18/11/2024 20:43:35
Smartphone Motorola Moto G04s - 128GB 4GB RAM + 4GB RAM Boost Camera 16MP com Moto AI sensor FPS lateral Grafite  ;https://www.amazon.com.br/Smartphone-Motorola-Moto-G04s-lateral/dp/B0D5296M56/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;4,7;782;em até 10x de R$ 77,90 sem juros;77,9;779,0;Amazon;18/11/2024 20:43:35
Smartphone Moto G84 5G 16GB RAM Boost* 256GB Azul - Couro Vegano  ;https://www.amazon.com.br/Smartphone-Moto-G84-256GB-Azul/dp/B0CGVWXHXV/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sr=8-9&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;4,7;3.809;em até 12x de R$ 120,33 sem juros;120,33;1289,45;Amazon;18/11/2024 20:43:35
Smartphone Motorola Moto g24 Power 128GB 8GB Ram Boost AI Camera 50MP 6000 mAh - Azul  ;https://www.amazon.com.br/Smartphone-Motorola-Power-128GB-Camera/dp/B0DJFYQ63B/ref=sr_1_10_mod_primary_new?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64vzuNHt5f-UpWLKjUiFa-DUf15i2-8PtjmcqpAWt0Hqw7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.ihejnVVcQbD11BAmkIlfTaciDU1dqXIj5_8otG6iIHc&dib_tag=se&keywords=smartphone&qid=1731973371&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-10;0;0;em até 12x de R$ 72,18 com juros;72,18;773,39;Amazon;18/11/2024 20:43:35
