Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
"Smartphone Motorola Edge 50 Fusion 256GB Pink Vegan Suede 5G 16GB RAM 6,7"" Câmera Sony Dupla Selfie 32MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-edge-50-fusion-256gb-pink-vegan-suede-5g-16gb-ram-67-camera-sony-dupla-selfie-32mp-dual-chip/p/238352500/te/srmt/;4.8 (139);R$ 2.465,56 em 10x de R$ 246,56 sem juros;2465,56;2219,0;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Edge 50 Neo 256GB Latte (Marrom) 5G 16GB RAM 6,4"" Câm. Tripla + Selfie 32MP";https://www.magazineluiza.com.br/smartphone-motorola-edge-50-neo-256gb-latte-marrom-5g-16gb-ram-64-cam-tripla-selfie-32mp/p/238695400/te/srmt/;5.0 (2);R$ 2.799,00 em 10x de R$ 279,90 sem juros;2799,0;2519,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Moto G04s 128GB Grafite 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g04s-128gb-grafite-4gb-ram-66-cam-50mp-selfie-5mp-dual-chip/p/238245300/te/srmt/;4.8 (1515);R$ 799,00 em 6x de R$ 133,17 sem juros;799,0;719,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Moto G24 128GB Rosa 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-128gb-rosa-4gb-4gb-ram-boost-66-cam-dupla-selfie-8mp-dual-chip/p/237270400/te/srmt/;4.8 (3029);R$ 899,00 em 7x de R$ 128,43 sem juros;899,0;809,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-128gb-azul-claro-4g-4gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216300/te/ga15/;4.8 (9083);R$ 899,00 em 10x de R$ 89,90 sem juros;899,0;809,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB + 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g34-128gb-azul-5g-4gb-4gb-ram-boost-65-cam-dupla-selfie-16mp-dual-chip/p/237270100/te/srmt/;4.8 (1667);R$ 969,00 em 8x de R$ 121,13 sem juros;969,0;872,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto g34 5G - 256GB 16GB Ram Boost AI Camera 50MP NFC;https://www.magazineluiza.com.br/smartphone-motorola-moto-g34-5g-256gb-16gb-ram-boost-ai-camera-50mp-nfc/p/cb2096j8kk/te/srmt/;4.8 (345);R$ 1.149,00 em 9x de R$ 127,67 sem juros;1149,0;1034,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto G04s 128GB Tela 6,6 Câmera 50MP Selfie 5MP Dual Chip Android 14;https://www.magazineluiza.com.br/smartphone-motorola-moto-g04s-128gb-tela-66-camera-50mp-selfie-5mp-dual-chip-android-14/p/ka45131393/te/srmt/;4.9 (46);R$ 723,30 em 12x de R$ 60,28 sem juros;723,3;614,81;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-azul-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/237876300/te/srmt/;4.7 (5665);R$ 1.399,00 em 10x de R$ 139,90 sem juros;1399,0;1259,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Celular Xiaomi Redmi 13c 8gb 256gb;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-8gb-256gb/p/bk1ajbejae/te/xiao/;4.8 (213);R$ 1.399,00 em 10x de R$ 139,90 sem juros;1399,0;1287,08;Magazine Luiza;14/11/2024 20:14:36
